employee_id,department,age,tenure_years,monthly_salary,commute_km,overtime,job_satisfaction,work_life_balance,last_promotion_years,performance_rating,training_hours_last_year,attrition
E1044,Engineering,35,10.8,73200.0,10.5,No,5,3,3.7,1,12,No
E1045,Marketing,54,5.2,59200.0,7.5,Yes,1,2,0.3,3,21,No
E1046,Engineering,55,3.6,54200.0,11.6,No,3,3,1.5,3,15,No
E1047,Customer Support,45,5.5,41600.0,7.9,No,4,3,1.8,3,17,No
E1048,Customer Support,44,12.0,44100.0,13.0,No,5,5,2.9,5,20,No
E1049,Sales,32,2.9,57900.0,3.0,No,2,4,2.5,5,21,No
E1050,HR,38,2.5,48900.0,1.4,No,1,5,4.2,3,16,No
E1051,Operations,35,3.0,58400.0,10.9,Yes,4,2,0.1,3,22,No
E1052,HR,36,2.3,27800.0,8.0,No,3,2,0.9,3,14,No
E1053,Operations,47,3.0,29600.0,1.0,No,2,5,0.8,3,18,Yes
E1054,Customer Support,28,1.8,49200.0,5.7,Yes,1,4,0.4,4,21,No
E1055,HR,45,0.7,42300.0,1.3,No,5,5,0.9,3,17,No
E1056,Sales,37,0.4,71700.0,9.1,Yes,2,2,0.9,4,25,Yes
E1057,Sales,49,0.2,76100.0,6.0,No,2,4,1.8,4,20,No
E1058,Sales,28,0.9,61400.0,11.4,No,4,2,2.7,4,19,Yes
E1059,Engineering,35,0.1,48600.0,19.7,Yes,1,4,1.2,3,17,No
E1060,Engineering,47,2.5,88500.0,4.3,No,4,4,3.2,4,15,No
E1061,Engineering,27,1.0,72500.0,39.3,Yes,4,5,1.0,3,14,Yes
E1062,Operations,23,5.2,29400.0,9.2,No,3,5,0.9,3,12,Yes
E1063,Engineering,49,0.2,42500.0,11.6,Yes,5,5,1.9,2,23,No
E1064,Engineering,44,0.8,97200.0,13.7,No,2,4,0.1,3,15,No
E1065,Customer Support,23,3.9,64000.0,13.2,Yes,1,4,0.2,3,21,No
E1066,Sales,40,2.7,18900.0,8.6,No,5,2,1.4,3,24,No
E1067,Operations,35,0.2,31100.0,6.7,No,5,3,7.2,4,17,No
E1068,Sales,45,6.3,75700.0,1.0,No,1,5,3.2,4,22,No
E1069,HR,50,6.3,50300.0,1.0,No,5,2,0.2,3,18,No
E1070,Operations,34,1.2,59000.0,5.3,No,3,2,4.7,2,14,No
E1071,Sales,27,1.2,56800.0,4.9,No,5,1,3.3,4,12,No
E1072,Sales,37,13.5,68000.0,5.9,Yes,3,5,2.4,1,13,No
E1073,Operations,40,3.0,49600.0,1.8,No,2,2,4.3,5,21,No
E1074,Marketing,56,2.3,46000.0,16.1,Yes,2,1,1.3,4,14,Yes
E1075,Marketing,29,5.5,67400.0,23.3,Yes,4,5,0.6,3,14,No
E1076,Operations,58,1.0,52200.0,33.5,No,3,4,1.8,3,19,No
E1077,Sales,42,1.7,68000.0,8.1,Yes,2,1,2.0,1,21,No
E1078,Engineering,22,0.9,71800.0,14.5,Yes,5,4,1.9,3,25,No
E1079,Sales,44,4.7,50100.0,23.2,Yes,1,3,2.1,3,17,Yes
E1080,Operations,28,2.6,71200.0,6.5,Yes,1,3,7.4,4,22,Yes
E1081,Customer Support,31,3.2,51300.0,4.4,Yes,3,3,5.8,3,16,No
E1082,Engineering,33,0.9,62100.0,33.1,No,4,3,5.2,3,13,Yes
E1083,Sales,37,0.7,77900.0,8.7,Yes,5,2,4.0,4,17,No
E1084,Engineering,28,2.0,44000.0,8.3,No,3,3,7.2,3,18,No
E1085,Engineering,41,4.0,110600.0,2.4,Yes,1,2,0.3,2,19,No
E1086,Marketing,38,2.2,49700.0,1.4,No,3,2,0.8,2,11,No
E1087,Customer Support,50,0.1,30600.0,22.2,Yes,5,5,1.7,1,24,No
E1088,Operations,38,6.1,75200.0,11.4,No,2,2,4.7,4,15,Yes
E1089,Customer Support,51,0.2,40900.0,4.7,No,5,2,1.8,3,19,No
E1090,Sales,58,9.4,61500.0,2.6,Yes,2,3,3.4,4,18,No
E1091,Marketing,52,0.1,62500.0,9.7,No,2,2,0.4,3,25,No
E1092,Marketing,31,3.6,69200.0,10.5,No,2,4,0.7,3,22,Yes
E1093,Customer Support,45,0.3,50600.0,2.8,Yes,3,3,3.3,3,11,Yes
E1094,Operations,53,7.2,40800.0,22.9,No,1,1,0.5,4,20,No
E1095,Customer Support,58,1.9,49600.0,1.1,No,3,3,1.1,3,16,No
E1096,Customer Support,28,0.4,41400.0,5.3,No,1,2,0.8,2,22,No
E1097,Engineering,31,1.3,73400.0,13.7,Yes,5,4,1.1,4,18,No
E1098,Sales,42,0.5,83400.0,3.8,No,4,3,3.1,3,13,No
E1099,Sales,44,0.6,69600.0,21.1,No,5,4,1.1,3,21,No
E1100,Sales,37,8.9,61000.0,16.2,No,3,1,2.0,4,14,No
E1101,Customer Support,32,1.8,56200.0,18.7,No,3,1,0.3,3,19,No
E1102,Engineering,52,4.7,84000.0,1.5,Yes,1,5,4.1,4,20,No
E1103,Customer Support,35,3.1,33000.0,1.8,No,3,5,1.2,3,12,No
E1104,Operations,36,3.4,50000.0,4.1,Yes,2,3,2.6,4,16,No
E1105,Engineering,42,0.4,116800.0,8.8,Yes,3,5,3.2,4,20,No
E1106,Engineering,48,0.8,91500.0,16.5,No,1,4,0.6,3,20,No
E1107,Marketing,40,4.6,45000.0,21.7,No,1,5,5.4,4,21,No
E1108,Engineering,53,10.6,57500.0,14.6,Yes,2,4,2.4,4,22,No
E1109,Sales,30,0.9,47800.0,31.7,No,1,5,1.4,3,17,No
E1110,Engineering,52,1.0,85000.0,16.1,No,4,5,0.5,3,26,No
E1111,Sales,53,1.9,83100.0,4.4,No,5,5,7.1,4,23,No
E1112,HR,22,12.4,58600.0,3.7,No,3,2,3.5,4,15,No
E1113,Operations,53,0.9,51700.0,14.3,No,4,2,0.6,2,17,No
E1114,Customer Support,53,1.6,41100.0,2.6,Yes,3,5,1.0,4,20,No
E1115,Operations,33,6.7,53900.0,1.2,Yes,4,4,4.1,2,10,No
E1116,Operations,50,0.1,38400.0,9.1,No,3,3,3.0,4,16,Yes
E1117,Sales,53,0.1,27300.0,20.7,Yes,2,1,3.6,4,22,Yes
E1118,Operations,33,2.8,71600.0,1.3,No,1,2,1.5,5,11,Yes
E1119,Customer Support,46,7.1,33900.0,18.8,No,1,5,3.2,2,11,No
E1120,Operations,42,0.8,45100.0,20.0,No,2,1,1.2,4,25,No
E1121,Operations,59,1.9,58300.0,7.9,Yes,4,2,0.6,3,16,No
E1122,Engineering,22,1.8,95600.0,1.0,No,5,3,2.5,3,19,No
E1123,Sales,58,1.9,61800.0,2.3,No,4,4,9.3,2,18,No
E1124,Engineering,59,2.9,46400.0,14.7,No,1,5,0.9,4,15,No
E1125,Engineering,46,1.9,63100.0,14.9,Yes,5,3,1.5,3,19,No
E1126,Operations,35,1.8,40300.0,27.4,No,3,2,2.8,2,24,No
E1127,Operations,54,1.9,49000.0,10.5,No,5,5,1.9,4,15,No
E1128,Sales,31,2.7,77200.0,1.6,No,4,1,4.6,4,11,No
E1129,Customer Support,23,2.3,15300.0,1.6,No,2,4,3.6,4,16,No
E1130,Engineering,26,5.8,61000.0,15.3,Yes,3,2,0.2,5,17,No
E1131,Engineering,29,0.2,59600.0,2.4,Yes,4,4,15.0,3,18,Yes
E1132,Sales,26,5.4,37900.0,4.8,No,3,5,3.5,5,13,No
E1133,Engineering,29,5.6,79800.0,8.0,No,5,3,5.0,4,18,No
E1134,HR,59,1.0,31100.0,1.0,No,1,4,2.6,3,17,No
E1135,Engineering,51,1.9,44400.0,3.4,Yes,4,1,4.8,3,15,No
E1136,Customer Support,52,1.7,57600.0,6.3,Yes,2,2,0.3,3,11,No
E1137,Marketing,32,0.7,73600.0,3.9,Yes,5,1,1.1,3,29,No
E1138,Engineering,28,1.5,67400.0,1.8,Yes,4,4,5.2,4,33,No
E1139,HR,28,0.1,33800.0,15.6,No,2,3,0.6,4,24,No
E1140,HR,48,1.0,40800.0,20.1,No,4,3,0.2,4,26,No
E1141,Engineering,40,5.1,87600.0,3.6,Yes,5,1,3.9,3,20,No
E1142,Customer Support,27,1.0,48200.0,17.9,No,4,5,4.5,2,14,No
E1143,Engineering,31,5.1,66900.0,5.8,Yes,3,5,0.4,4,18,No
E1144,Engineering,40,2.3,74600.0,8.5,No,5,3,4.8,3,17,Yes
E1145,Sales,36,6.4,57100.0,23.3,Yes,4,1,2.9,5,29,No
E1146,Customer Support,24,2.6,66500.0,16.6,No,1,1,1.8,2,14,No
E1147,Customer Support,26,0.1,37200.0,19.6,No,4,1,4.4,5,13,No
E1148,Sales,42,3.4,44100.0,1.8,No,3,4,1.4,2,17,No
E1149,Engineering,46,0.1,42800.0,1.0,No,2,5,0.5,3,17,No
E1150,Operations,23,1.8,42200.0,26.9,No,2,5,0.8,2,21,No
E1151,Engineering,34,8.0,48200.0,5.9,No,2,4,1.8,4,17,Yes
E1152,Sales,31,0.5,61200.0,4.1,Yes,1,2,1.9,4,18,No
E1153,Customer Support,38,1.5,47000.0,15.5,No,3,4,4.1,3,21,No
E1154,HR,32,3.9,35700.0,21.7,No,5,1,3.9,5,24,No
E1155,Engineering,43,6.4,79800.0,23.8,Yes,2,4,2.2,4,19,No
E1156,Marketing,32,3.3,73900.0,4.6,No,3,1,3.8,4,20,Yes
E1157,Marketing,33,0.9,57400.0,22.9,No,4,3,0.5,4,23,No
E1158,Engineering,45,3.4,22500.0,1.0,No,1,1,0.1,3,21,No
E1159,Marketing,39,1.1,80600.0,1.0,No,3,5,5.2,3,22,No
E1160,Engineering,56,3.8,82800.0,11.7,No,3,4,0.2,5,15,No
E1161,Customer Support,28,9.2,71700.0,1.0,No,5,1,0.7,5,20,No
E1162,Customer Support,49,3.8,60700.0,4.7,No,3,2,3.0,5,21,No
E1163,Customer Support,52,6.0,63200.0,13.4,No,5,3,1.3,5,22,No
E1164,Sales,38,0.1,61000.0,4.9,No,1,2,5.2,2,12,No
E1165,Operations,26,3.8,46000.0,2.4,No,1,2,0.9,4,19,No
E1166,Engineering,38,5.3,75800.0,4.0,No,4,2,0.0,3,26,No
E1167,Sales,39,0.1,46600.0,7.3,No,5,3,0.9,5,23,No
E1168,Sales,42,6.2,64600.0,7.7,No,5,3,2.2,3,17,Yes
E1169,Customer Support,57,0.9,15300.0,18.3,No,2,3,1.2,4,17,No
E1170,Marketing,52,3.3,52800.0,16.6,No,2,3,1.9,3,14,No
E1171,Sales,23,4.8,79000.0,7.3,No,4,2,5.2,3,19,No
E1172,Customer Support,48,3.3,47900.0,22.4,Yes,1,5,6.1,2,9,No
E1173,Engineering,30,0.3,101100.0,1.5,No,2,5,0.8,4,10,Yes
E1174,Customer Support,55,2.7,43400.0,3.5,No,3,3,1.6,4,20,No
E1175,Sales,49,2.4,73500.0,21.1,Yes,1,4,2.0,3,19,No
E1176,Marketing,35,6.9,39700.0,5.7,Yes,3,1,7.4,4,15,No
E1177,Engineering,53,1.6,86800.0,47.7,No,5,4,15.0,4,19,No
E1178,HR,27,1.2,53800.0,7.5,Yes,1,4,0.7,3,21,Yes
E1179,Sales,32,4.2,54300.0,18.8,Yes,4,4,3.2,3,17,No
E1180,Engineering,50,1.6,22500.0,6.2,No,5,5,1.2,4,15,No
E1181,Sales,41,3.1,53800.0,6.6,No,5,1,0.0,4,21,No
E1182,HR,51,3.1,53500.0,5.8,No,3,4,0.0,3,17,No
E1183,Operations,44,6.6,60700.0,15.2,No,5,3,1.5,4,12,No
E1184,Engineering,40,2.7,98000.0,9.5,No,2,5,1.7,2,15,No
E1185,Marketing,57,2.1,81200.0,34.5,Yes,1,3,0.1,3,18,No
E1186,Operations,24,0.4,66300.0,3.5,No,2,3,2.9,3,16,No
E1187,Customer Support,48,0.4,39600.0,1.3,No,3,4,0.9,3,16,No
E1188,Customer Support,40,0.5,42800.0,6.0,No,3,3,2.1,4,20,No
E1189,Engineering,44,0.6,82600.0,11.5,Yes,1,1,0.9,5,19,Yes
E1190,Sales,52,3.0,65900.0,23.7,No,5,3,0.5,3,15,Yes
E1191,Operations,56,4.1,71500.0,5.1,Yes,4,4,1.3,3,12,No
E1192,Operations,54,2.3,83000.0,12.7,No,3,3,0.7,4,22,No
E1193,Customer Support,56,5.3,75600.0,5.2,Yes,1,5,1.9,4,12,Yes
E1194,Engineering,22,14.2,96800.0,11.5,No,4,5,0.6,4,20,No
E1195,Engineering,35,5.1,78600.0,25.9,No,5,5,1.8,4,18,No
E1196,Marketing,54,3.6,71400.0,3.2,Yes,3,2,0.4,3,5,No
E1197,Operations,56,2.3,71900.0,6.2,No,1,5,2.8,4,12,No
E1198,Operations,26,1.8,47500.0,60.0,No,1,5,3.5,3,17,No
E1199,Operations,59,0.3,42300.0,24.4,No,1,2,0.3,3,12,No
E1200,Customer Support,32,1.5,37000.0,10.0,No,3,5,1.6,3,19,No
E1201,Sales,23,7.2,44000.0,8.7,No,4,4,0.2,3,17,No
E1202,Sales,38,5.0,36000.0,4.0,No,1,5,2.3,5,16,Yes
E1203,Operations,41,0.7,52800.0,8.7,Yes,5,5,0.8,4,19,No
E1204,Customer Support,35,1.9,34000.0,22.6,No,1,2,1.9,3,16,No
E1205,Sales,53,5.1,45400.0,13.9,Yes,4,4,1.8,3,23,No
E1206,Sales,55,0.2,68800.0,4.1,No,3,3,6.5,3,19,No
E1207,Marketing,46,1.5,54800.0,2.7,Yes,1,1,2.0,3,16,No
E1208,Sales,28,5.7,64500.0,3.7,Yes,1,4,2.2,4,20,No
E1209,Sales,56,1.6,79300.0,2.2,No,5,3,1.3,5,18,No
E1210,Customer Support,50,0.2,57800.0,1.2,No,5,4,7.4,5,15,No
E1211,Marketing,43,2.3,73900.0,6.5,No,1,3,3.8,4,19,No
E1212,Marketing,34,5.9,53400.0,1.4,Yes,1,3,0.8,4,21,No
E1213,Engineering,34,2.7,99000.0,2.3,No,5,4,4.6,3,18,No
E1214,Marketing,22,0.8,57400.0,9.5,No,4,2,1.4,3,19,No
E1215,Engineering,57,1.5,71900.0,2.2,No,2,4,4.4,3,27,No
E1216,Engineering,25,1.8,96100.0,1.0,Yes,2,4,4.3,4,15,No
E1217,Marketing,58,2.6,39800.0,4.6,No,1,3,0.5,4,22,No
E1218,Customer Support,34,4.3,72600.0,3.0,No,5,1,3.0,3,15,No
E1219,Operations,59,0.3,45700.0,8.7,Yes,3,3,0.9,3,16,No
E1220,Marketing,45,6.6,34900.0,1.3,No,3,5,0.9,3,10,No
E1221,Customer Support,40,0.1,55100.0,16.7,No,2,4,0.9,5,24,No
E1222,Sales,22,1.4,51800.0,28.4,Yes,4,4,3.2,3,16,No
E1223,Engineering,59,0.1,106800.0,16.3,No,2,2,0.7,4,19,No
E1224,Engineering,26,1.5,60600.0,9.1,Yes,1,3,0.0,4,20,No
E1225,Engineering,37,2.2,74600.0,23.7,Yes,4,2,3.1,3,18,No
E1226,HR,45,2.2,30900.0,14.2,No,3,4,0.5,4,11,No
E1227,Engineering,48,0.5,84000.0,1.0,No,5,3,0.3,4,10,No
E1228,Operations,22,3.1,39000.0,6.0,No,5,3,0.7,3,14,No
E1229,Customer Support,55,0.1,55600.0,22.8,No,1,5,1.2,5,22,No
E1230,Operations,57,4.3,43700.0,5.1,Yes,2,5,1.6,3,16,Yes
E1231,Customer Support,25,8.8,20700.0,1.0,No,1,1,0.1,2,19,No
E1232,Customer Support,21,1.2,48400.0,16.5,No,5,5,8.8,4,12,No
E1233,Customer Support,32,2.2,47900.0,19.4,No,3,3,3.1,4,12,No
E1234,Sales,56,1.4,71600.0,2.1,No,5,5,1.0,5,11,No
E1235,Marketing,43,0.1,74400.0,9.2,No,4,1,1.0,4,6,No
E1236,Engineering,51,1.5,104600.0,2.6,No,5,4,1.5,5,20,No
E1237,Sales,31,4.7,71400.0,15.2,No,5,5,2.5,4,22,No
E1238,Customer Support,30,2.7,50300.0,3.8,Yes,4,3,0.4,4,22,No
E1239,Sales,23,0.3,35300.0,4.6,No,2,4,0.5,4,15,No
E1240,HR,34,5.6,53400.0,22.4,Yes,5,3,4.9,3,18,No
E1241,HR,36,2.3,53500.0,7.8,Yes,1,4,0.7,5,22,No
E1242,Operations,30,5.5,46800.0,13.3,Yes,5,3,1.2,3,22,No
E1243,Engineering,49,2.6,80600.0,6.2,No,1,5,5.1,3,19,No
E1244,Sales,30,2.5,75400.0,4.2,No,4,5,2.7,3,25,No
E1245,HR,32,0.3,39300.0,11.8,No,5,1,1.0,4,26,No
E1246,Engineering,50,0.5,53100.0,2.0,No,4,4,2.9,3,16,No
E1247,HR,21,10.7,48700.0,5.6,No,4,1,0.0,2,21,No
E1248,HR,25,0.8,42100.0,2.8,Yes,2,2,3.3,4,20,Yes
E1249,Operations,40,11.4,27400.0,14.3,Yes,5,5,1.7,3,14,No
E1250,Engineering,28,2.3,50100.0,34.6,No,1,4,4.2,4,15,No
E1251,Engineering,32,0.4,45600.0,60.0,No,1,1,7.7,3,22,No
E1252,Operations,21,0.3,65800.0,7.2,No,5,1,6.5,1,11,No
E1253,Engineering,40,0.7,100600.0,3.5,No,2,2,6.0,3,17,No
E1254,Sales,48,7.8,40500.0,7.0,Yes,2,1,1.8,4,15,No
E1255,Customer Support,57,1.6,53700.0,22.5,No,2,3,1.1,2,18,Yes
E1256,HR,57,1.5,62700.0,2.8,No,1,5,1.6,5,11,Yes
E1257,Marketing,32,1.1,31000.0,36.5,No,4,1,2.9,3,27,No
E1258,Customer Support,57,0.5,48800.0,5.0,Yes,2,1,5.4,3,16,Yes
E1259,Sales,48,2.0,97600.0,51.1,No,1,2,0.6,3,25,No
E1260,Customer Support,35,0.4,55400.0,21.9,No,1,3,6.3,1,13,No
E1261,HR,26,5.4,47200.0,19.8,Yes,4,1,4.2,4,19,No
E1262,Sales,40,1.4,48900.0,4.6,No,5,5,9.6,4,16,No
E1263,Customer Support,34,1.4,21000.0,1.0,No,5,5,5.3,4,20,No
E1264,Operations,22,1.9,55900.0,5.8,No,2,1,0.8,3,17,Yes
E1265,Marketing,29,1.8,80000.0,4.3,No,2,3,0.3,3,13,No
E1266,Marketing,57,15.8,40700.0,1.0,No,4,5,0.3,3,14,No
E1267,Marketing,40,2.4,24700.0,8.4,No,2,5,0.9,5,22,No
E1268,Engineering,46,0.3,56200.0,6.2,Yes,4,3,2.4,3,25,No
E1269,Engineering,49,2.8,85200.0,12.1,Yes,1,3,4.1,4,16,Yes
E1270,Operations,21,0.5,43700.0,11.6,Yes,2,1,5.7,3,14,Yes
E1271,Operations,55,0.1,38400.0,1.5,No,1,4,2.4,3,22,No
E1272,Operations,26,10.6,49800.0,45.2,No,3,2,0.0,3,20,No
E1273,Operations,57,4.5,52600.0,2.5,No,4,4,0.5,2,16,No
E1274,Customer Support,25,11.8,29100.0,7.1,No,3,4,0.3,4,18,No
E1275,Customer Support,53,1.9,43900.0,8.0,No,2,5,1.1,3,13,No
E1276,Operations,34,2.3,42800.0,20.1,No,1,3,1.7,4,10,No
E1277,Customer Support,32,0.6,38600.0,1.3,Yes,2,5,0.1,2,20,No
E1278,Marketing,40,0.9,37700.0,6.7,No,3,2,1.1,5,15,No
E1279,Operations,44,5.5,62200.0,11.9,No,2,1,0.5,3,18,No
E1280,Operations,54,1.3,40800.0,2.9,No,5,2,2.6,4,22,No
E1281,Engineering,45,5.3,31400.0,11.8,No,3,5,1.6,4,13,No
E1282,Engineering,49,3.7,73800.0,30.9,No,2,5,1.7,5,22,No
E1283,Sales,59,0.6,69200.0,60.0,Yes,1,5,1.4,3,20,No
E1284,Customer Support,51,2.1,36600.0,1.0,No,2,5,7.8,4,19,No
E1285,Sales,43,3.4,48900.0,3.2,No,1,4,0.6,3,23,No
E1286,Engineering,58,0.8,56600.0,4.5,No,5,1,1.8,3,15,Yes
E1287,Customer Support,40,5.3,42300.0,6.1,No,2,4,3.3,3,9,No
E1288,Engineering,43,2.4,89500.0,3.3,No,5,5,2.0,3,16,No
E1289,Customer Support,36,0.5,45300.0,2.7,No,3,3,6.6,5,25,No
E1290,Sales,28,2.6,71000.0,37.1,No,1,4,1.2,2,10,No
E1291,Sales,41,20.0,42500.0,30.1,No,3,5,1.6,4,18,No
E1292,Operations,21,0.5,44300.0,1.0,No,1,5,0.2,4,15,No
E1293,Engineering,28,5.1,86600.0,5.0,No,5,1,2.3,3,18,No
E1294,Sales,49,0.7,45000.0,6.2,No,4,2,0.8,4,17,Yes
E1295,Customer Support,52,4.6,59700.0,3.3,No,2,4,0.4,2,21,Yes
E1296,Marketing,58,4.0,43300.0,11.9,Yes,5,4,2.0,4,28,No
E1297,Sales,25,1.1,52700.0,12.3,No,1,4,1.9,3,23,No
E1298,Customer Support,42,1.2,68100.0,22.8,Yes,1,5,0.2,5,19,Yes
E1299,Sales,54,4.7,50900.0,16.2,No,1,1,3.0,4,18,No
E1300,Sales,21,1.9,60100.0,9.4,Yes,1,5,2.4,5,21,No
E1301,Customer Support,46,3.9,54600.0,12.7,Yes,2,5,0.5,2,17,Yes
E1302,Customer Support,30,0.5,49600.0,3.8,Yes,3,3,1.6,3,8,Yes
E1303,Customer Support,50,5.7,50000.0,10.8,Yes,4,1,3.2,3,13,No
E1304,Marketing,38,3.7,51500.0,8.1,Yes,2,4,1.9,1,12,Yes
E1305,HR,37,7.1,32700.0,1.7,No,1,2,1.3,3,22,No
E1306,Customer Support,46,0.4,51200.0,3.3,No,2,4,1.0,4,13,No
E1307,Engineering,28,2.7,55000.0,4.1,No,5,5,2.4,3,20,No
E1308,Operations,32,2.7,59900.0,31.0,No,1,1,7.0,3,17,No
E1309,Engineering,47,1.3,94500.0,3.1,Yes,4,1,2.8,4,15,No
E1310,Engineering,28,1.8,34900.0,4.1,No,1,1,0.2,4,24,No
E1311,Sales,45,0.1,79400.0,5.5,Yes,4,3,1.5,3,18,No
E1312,Sales,24,4.1,51200.0,13.1,No,4,4,5.5,3,13,No
E1313,HR,53,2.4,48800.0,1.5,No,3,3,0.2,3,23,No
E1314,Operations,21,0.2,37200.0,36.9,Yes,3,2,11.2,3,25,No
E1315,Marketing,39,3.4,54900.0,24.1,No,2,5,7.4,4,12,No
E1316,Engineering,51,1.9,70000.0,10.3,No,2,3,0.2,3,20,No
E1317,Sales,36,0.1,74800.0,13.5,No,4,3,6.8,4,15,No
E1318,Sales,34,10.5,46100.0,1.0,No,1,5,1.1,4,14,No
E1319,Engineering,25,8.9,99900.0,5.0,Yes,5,1,4.7,4,17,No
E1320,Customer Support,46,2.2,55200.0,19.1,No,5,5,1.4,3,13,No
E1321,Marketing,48,0.3,53600.0,1.0,Yes,1,4,1.5,3,15,No
E1322,Marketing,22,4.2,49700.0,4.0,No,1,5,2.5,4,14,No
E1323,Engineering,26,2.0,63000.0,10.6,Yes,3,1,3.7,3,19,Yes
E1324,HR,29,1.1,47300.0,3.6,No,5,5,0.1,3,21,No
E1325,Marketing,53,2.0,54600.0,32.6,No,4,3,2.2,3,15,No
E1326,Customer Support,45,2.2,44100.0,1.7,No,2,2,0.5,3,20,No
E1327,Customer Support,33,2.5,38600.0,19.2,No,3,3,1.1,4,14,No
E1328,Engineering,29,1.7,72000.0,8.5,No,5,2,1.1,3,15,No
E1329,Engineering,33,2.8,53100.0,16.7,No,1,5,1.6,3,14,No
E1330,Engineering,51,7.5,74800.0,4.5,No,5,4,1.0,3,21,No
E1331,Marketing,31,1.3,49100.0,8.7,Yes,4,5,0.3,4,17,No
E1332,Sales,24,3.9,68800.0,23.3,No,3,1,0.4,4,14,Yes
E1333,Sales,54,6.7,73300.0,7.5,Yes,1,5,0.1,4,22,No
E1334,Sales,58,1.8,73300.0,5.4,Yes,4,2,1.6,3,16,No
E1335,Sales,24,1.8,62800.0,9.2,No,2,3,7.7,1,20,No
E1336,Operations,58,2.8,55400.0,15.2,No,3,4,0.3,3,22,No
E1337,Marketing,39,2.7,47700.0,7.0,No,4,5,7.3,4,14,Yes
E1338,Customer Support,26,4.9,55400.0,33.5,Yes,4,5,3.3,4,14,No
E1339,Sales,54,1.9,70200.0,4.2,No,1,3,2.5,4,13,No
E1340,Customer Support,38,16.7,26800.0,7.7,Yes,2,4,2.6,3,22,No
